track,fin,start,manu,manu_avg_fin_track,manu_avg_fin,avg_fin_track,manu_track_delta
Daytona,0.0,0.0,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.02564102564102564,0.28205128205128205,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.05128205128205129,0.07692307692307693,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.07692307692307693,0.02564102564102564,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.10256410256410256,0.10256410256410256,Toyota,0.2642266023119586,0.0,0.0,0.4900611620795107
Daytona,0.12820512820512822,0.23076923076923075,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.15384615384615385,0.30769230769230765,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.1794871794871795,0.20512820512820512,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.20512820512820512,0.43589743589743585,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.23076923076923075,0.1794871794871795,Toyota,0.2642266023119586,0.0,0.0,0.4900611620795107
Daytona,0.2564102564102564,0.12820512820512822,Toyota,0.2642266023119586,0.0,0.0,0.4900611620795107
Daytona,0.28205128205128205,0.15384615384615385,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.30769230769230765,0.3589743589743589,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.3333333333333333,0.3333333333333333,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.3589743589743589,0.4871794871794871,Toyota,0.2642266023119586,0.0,0.0,0.4900611620795107
Daytona,0.3846153846153846,0.5128205128205128,Toyota,0.2642266023119586,0.0,0.0,0.4900611620795107
Daytona,0.41025641025641024,0.41025641025641024,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.43589743589743585,0.2564102564102564,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.4615384615384615,0.4615384615384615,Toyota,0.2642266023119586,0.0,0.0,0.4900611620795107
Daytona,0.4871794871794871,0.05128205128205129,Toyota,0.2642266023119586,0.0,0.0,0.4900611620795107
Daytona,0.5128205128205128,0.3846153846153846,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.0,0.05128205128205129,Toyota,0.2642266023119586,0.0,0.0,0.4900611620795107
Daytona,0.02564102564102564,0.02564102564102564,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.05128205128205129,0.2564102564102564,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.07692307692307693,0.30769230769230765,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.10256410256410256,0.0,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.12820512820512822,0.28205128205128205,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.15384615384615385,0.10256410256410256,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.1794871794871795,0.1794871794871795,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.20512820512820512,0.12820512820512822,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.23076923076923075,0.3846153846153846,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.2564102564102564,0.3589743589743589,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.28205128205128205,0.15384615384615385,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.30769230769230765,0.07692307692307693,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.3333333333333333,0.4615384615384615,Toyota,0.2642266023119586,0.0,0.0,0.4900611620795107
Daytona,0.3589743589743589,0.43589743589743585,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.3846153846153846,0.41025641025641024,Toyota,0.2642266023119586,0.0,0.0,0.4900611620795107
Daytona,0.41025641025641024,0.4871794871794871,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.43589743589743585,0.23076923076923075,Toyota,0.2642266023119586,0.0,0.0,0.4900611620795107
Daytona,0.4615384615384615,0.20512820512820512,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.4871794871794871,0.5128205128205128,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.5128205128205128,0.3333333333333333,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.0,0.1794871794871795,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.02564102564102564,0.8974358974358974,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.05128205128205129,0.9487179487179487,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.07692307692307693,0.30769230769230765,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.10256410256410256,0.8205128205128205,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.12820512820512822,0.3589743589743589,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.15384615384615385,0.641025641025641,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.1794871794871795,0.7435897435897435,Toyota,0.2642266023119586,0.0,0.0,0.4900611620795107
Daytona,0.20512820512820512,0.6153846153846153,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.23076923076923075,0.2564102564102564,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
Daytona,0.2564102564102564,0.9743589743589743,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.28205128205128205,0.3846153846153846,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.30769230769230765,0.8717948717948717,Toyota,0.2642266023119586,0.0,0.0,0.4900611620795107
Daytona,0.3333333333333333,0.0,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.3589743589743589,0.5384615384615384,Chevrolet,0.36395600777933046,1.0,0.0,0.3842553980168659
Daytona,0.3846153846153846,0.6666666666666666,Ford,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456
