fin,start,manu_avg_fin_track,manu_avg_fin,avg_fin_track,manu_track_delta,track_Atlanta,track_Auto Club,track_Bristol,track_Bristol Dirt,track_COTA,track_Charlotte,track_Charlotte Roval,track_Chicago Street Course,track_Chicagoland,track_Darlington,track_Daytona,track_Daytona Road Course,track_Dover,track_Gateway,track_Homestead,track_Indianapolis,track_Indianapolis Road Course,track_Iowa,track_Kansas,track_Kentucky,track_Las Vegas,track_Martinsville,track_Michigan,track_Nashville,track_New Hampshire,track_Phoenix,track_Pocono,track_Richmond,track_Road America,track_Sonoma,track_Talladega,track_Texas,track_Watkins Glen,manu_Chevrolet,manu_Ford,manu_Toyota
0.0,0.0,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02564102564102564,0.28205128205128205,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.05128205128205129,0.07692307692307693,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.07692307692307693,0.02564102564102564,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.10256410256410256,0.10256410256410256,0.2642266023119586,0.0,0.0,0.4900611620795107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.12820512820512822,0.23076923076923075,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.15384615384615385,0.30769230769230765,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1794871794871795,0.20512820512820512,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.20512820512820512,0.43589743589743585,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.23076923076923075,0.1794871794871795,0.2642266023119586,0.0,0.0,0.4900611620795107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2564102564102564,0.12820512820512822,0.2642266023119586,0.0,0.0,0.4900611620795107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.28205128205128205,0.15384615384615385,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.30769230769230765,0.3589743589743589,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.3333333333333333,0.3333333333333333,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.3589743589743589,0.4871794871794871,0.2642266023119586,0.0,0.0,0.4900611620795107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3846153846153846,0.5128205128205128,0.2642266023119586,0.0,0.0,0.4900611620795107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.41025641025641024,0.41025641025641024,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.43589743589743585,0.2564102564102564,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.4615384615384615,0.4615384615384615,0.2642266023119586,0.0,0.0,0.4900611620795107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.4871794871794871,0.05128205128205129,0.2642266023119586,0.0,0.0,0.4900611620795107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5128205128205128,0.3846153846153846,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,0.05128205128205129,0.2642266023119586,0.0,0.0,0.4900611620795107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02564102564102564,0.02564102564102564,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.05128205128205129,0.2564102564102564,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.07692307692307693,0.30769230769230765,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.10256410256410256,0.0,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.12820512820512822,0.28205128205128205,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.15384615384615385,0.10256410256410256,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1794871794871795,0.1794871794871795,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.20512820512820512,0.12820512820512822,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.23076923076923075,0.3846153846153846,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2564102564102564,0.3589743589743589,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.28205128205128205,0.15384615384615385,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.30769230769230765,0.07692307692307693,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3333333333333333,0.4615384615384615,0.2642266023119586,0.0,0.0,0.4900611620795107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3589743589743589,0.43589743589743585,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3846153846153846,0.41025641025641024,0.2642266023119586,0.0,0.0,0.4900611620795107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.41025641025641024,0.4871794871794871,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.43589743589743585,0.23076923076923075,0.2642266023119586,0.0,0.0,0.4900611620795107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.4615384615384615,0.20512820512820512,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.4871794871794871,0.5128205128205128,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.5128205128205128,0.3333333333333333,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,0.1794871794871795,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.02564102564102564,0.8974358974358974,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.05128205128205129,0.9487179487179487,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.07692307692307693,0.30769230769230765,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.10256410256410256,0.8205128205128205,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.12820512820512822,0.3589743589743589,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.15384615384615385,0.641025641025641,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1794871794871795,0.7435897435897435,0.2642266023119586,0.0,0.0,0.4900611620795107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.20512820512820512,0.6153846153846153,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.23076923076923075,0.2564102564102564,0.2803934669055792,0.5581280960966071,0.0,0.4729056621258456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2564102564102564,0.9743589743589743,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.28205128205128205,0.3846153846153846,0.36395600777933046,1.0,0.0,0.3842553980168659,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.30769230769230765,0.8717948717948717,0.2642266023119586,0.0,0.0,0.4900611620795107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
